sample	unit	library	flowcell	platform	lane	sample_id	barcode	fq1	fq2	kb1	kb2
24N21269	1	Plate3	22W5NLLT4	ILLUMINA	7	24N21269	24N21269-Plate3	raw_data/01.RawData_2025/B_24N21269/B_24N21269_CKDL250026537-1A_22W5NLLT4_L7_1.fq.gz	raw_data/01.RawData_2025/B_24N21269/B_24N21269_CKDL250026537-1A_22W5NLLT4_L7_2.fq.gz	4827220.243	4846608.867
25N03037	1	Plate3	22W5NLLT4	ILLUMINA	7	25N03037	25N03037-Plate3	raw_data/01.RawData_2025/B_25N03037/B_25N03037_CKDL250026537-1A_22W5NLLT4_L7_1.fq.gz	raw_data/01.RawData_2025/B_25N03037/B_25N03037_CKDL250026537-1A_22W5NLLT4_L7_2.fq.gz	4509555.92	4512337.679
25N03038	1	Plate3	22W5NLLT4	ILLUMINA	7	25N03038	25N03038-Plate3	raw_data/01.RawData_2025/B_25N03038/B_25N03038_CKDL250026537-1A_22W5NLLT4_L7_1.fq.gz	raw_data/01.RawData_2025/B_25N03038/B_25N03038_CKDL250026537-1A_22W5NLLT4_L7_2.fq.gz	3634516.999	3638491.664
25N03039	1	Plate3	22W5NLLT4	ILLUMINA	7	25N03039	25N03039-Plate3	raw_data/01.RawData_2025/B_25N03039/B_25N03039_CKDL250026537-1A_22W5NLLT4_L7_1.fq.gz	raw_data/01.RawData_2025/B_25N03039/B_25N03039_CKDL250026537-1A_22W5NLLT4_L7_2.fq.gz	3686142.823	3695381.404
25N03040	1	Plate3	22W5NLLT4	ILLUMINA	7	25N03040	25N03040-Plate3	raw_data/01.RawData_2025/B_25N03040/B_25N03040_CKDL250026537-1A_22W5NLLT4_L7_1.fq.gz	raw_data/01.RawData_2025/B_25N03040/B_25N03040_CKDL250026537-1A_22W5NLLT4_L7_2.fq.gz	3598847.917	3611976.259
25N03041	1	Plate3	22W5NLLT4	ILLUMINA	7	25N03041	25N03041-Plate3	raw_data/01.RawData_2025/B_25N03041/B_25N03041_CKDL250026537-1A_22W5NLLT4_L7_1.fq.gz	raw_data/01.RawData_2025/B_25N03041/B_25N03041_CKDL250026537-1A_22W5NLLT4_L7_2.fq.gz	4404588.067	4451464.439
25N03042	1	Plate3	22W5NLLT4	ILLUMINA	7	25N03042	25N03042-Plate3	raw_data/01.RawData_2025/B_25N03042/B_25N03042_CKDL250026537-1A_22W5NLLT4_L7_1.fq.gz	raw_data/01.RawData_2025/B_25N03042/B_25N03042_CKDL250026537-1A_22W5NLLT4_L7_2.fq.gz	4147551.797	4161096.128
25N03043	1	Plate3	22W5NLLT4	ILLUMINA	7	25N03043	25N03043-Plate3	raw_data/01.RawData_2025/B_25N03043/B_25N03043_CKDL250026537-1A_22W5NLLT4_L7_1.fq.gz	raw_data/01.RawData_2025/B_25N03043/B_25N03043_CKDL250026537-1A_22W5NLLT4_L7_2.fq.gz	4669584.038	4675166.452
25N03044	1	Plate3	22W5NLLT4	ILLUMINA	7	25N03044	25N03044-Plate3	raw_data/01.RawData_2025/B_25N03044/B_25N03044_CKDL250026537-1A_22W5NLLT4_L7_1.fq.gz	raw_data/01.RawData_2025/B_25N03044/B_25N03044_CKDL250026537-1A_22W5NLLT4_L7_2.fq.gz	3667438.779	3631115.296
25N03045	1	Plate3	22W5NLLT4	ILLUMINA	7	25N03045	25N03045-Plate3	raw_data/01.RawData_2025/B_25N03045/B_25N03045_CKDL250026537-1A_22W5NLLT4_L7_1.fq.gz	raw_data/01.RawData_2025/B_25N03045/B_25N03045_CKDL250026537-1A_22W5NLLT4_L7_2.fq.gz	3865803.227	3877071.761
25N03046	1	Plate3	22W5NLLT4	ILLUMINA	7	25N03046	25N03046-Plate3	raw_data/01.RawData_2025/B_25N03046/B_25N03046_CKDL250026537-1A_22W5NLLT4_L7_1.fq.gz	raw_data/01.RawData_2025/B_25N03046/B_25N03046_CKDL250026537-1A_22W5NLLT4_L7_2.fq.gz	4107580.681	4115416.096
25N03047	1	Plate3	22W5NLLT4	ILLUMINA	7	25N03047	25N03047-Plate3	raw_data/01.RawData_2025/B_25N03047/B_25N03047_CKDL250026537-1A_22W5NLLT4_L7_1.fq.gz	raw_data/01.RawData_2025/B_25N03047/B_25N03047_CKDL250026537-1A_22W5NLLT4_L7_2.fq.gz	4074020.016	4107679.121
25N03048	1	Plate3	22W5NLLT4	ILLUMINA	7	25N03048	25N03048-Plate3	raw_data/01.RawData_2025/B_25N03048/B_25N03048_CKDL250026537-1A_22W5NLLT4_L7_1.fq.gz	raw_data/01.RawData_2025/B_25N03048/B_25N03048_CKDL250026537-1A_22W5NLLT4_L7_2.fq.gz	4202293.461	4248179.089
25N03067	1	Plate3	22W5NLLT4	ILLUMINA	7	25N03067	25N03067-Plate3	raw_data/01.RawData_2025/B_25N03067/B_25N03067_CKDL250026537-1A_22W5NLLT4_L7_1.fq.gz	raw_data/01.RawData_2025/B_25N03067/B_25N03067_CKDL250026537-1A_22W5NLLT4_L7_2.fq.gz	3015540.228	3037444.619
25N03068	1	Plate3	22W5NLLT4	ILLUMINA	7	25N03068	25N03068-Plate3	raw_data/01.RawData_2025/B_25N03068/B_25N03068_CKDL250026537-1A_22W5NLLT4_L7_1.fq.gz	raw_data/01.RawData_2025/B_25N03068/B_25N03068_CKDL250026537-1A_22W5NLLT4_L7_2.fq.gz	4153540.362	4153615.72
25N03069	1	Plate3	22W5NLLT4	ILLUMINA	7	25N03069	25N03069-Plate3	raw_data/01.RawData_2025/B_25N03069/B_25N03069_CKDL250026537-1A_22W5NLLT4_L7_1.fq.gz	raw_data/01.RawData_2025/B_25N03069/B_25N03069_CKDL250026537-1A_22W5NLLT4_L7_2.fq.gz	3296502.597	3319413.969
25N03070	1	Plate3	22W5NLLT4	ILLUMINA	7	25N03070	25N03070-Plate3	raw_data/01.RawData_2025/B_25N03070/B_25N03070_CKDL250026537-1A_22W5NLLT4_L7_1.fq.gz	raw_data/01.RawData_2025/B_25N03070/B_25N03070_CKDL250026537-1A_22W5NLLT4_L7_2.fq.gz	3747592.05	3749871.672
25N03071	1	Plate3	22W5NLLT4	ILLUMINA	7	25N03071	25N03071-Plate3	raw_data/01.RawData_2025/B_25N03071/B_25N03071_CKDL250026537-1A_22W5NLLT4_L7_1.fq.gz	raw_data/01.RawData_2025/B_25N03071/B_25N03071_CKDL250026537-1A_22W5NLLT4_L7_2.fq.gz	4383313.396	4404622.037
25N03072	1	Plate3	22W5NLLT4	ILLUMINA	7	25N03072	25N03072-Plate3	raw_data/01.RawData_2025/B_25N03072/B_25N03072_CKDL250026537-1A_22W5NLLT4_L7_1.fq.gz	raw_data/01.RawData_2025/B_25N03072/B_25N03072_CKDL250026537-1A_22W5NLLT4_L7_2.fq.gz	4072332.21	4095362.103
25N03073	1	Plate3	22W5NLLT4	ILLUMINA	7	25N03073	25N03073-Plate3	raw_data/01.RawData_2025/B_25N03073/B_25N03073_CKDL250026537-1A_22W5NLLT4_L7_1.fq.gz	raw_data/01.RawData_2025/B_25N03073/B_25N03073_CKDL250026537-1A_22W5NLLT4_L7_2.fq.gz	4733576.498	4760733.51
25N03074	1	Plate3	22W5NLLT4	ILLUMINA	7	25N03074	25N03074-Plate3	raw_data/01.RawData_2025/B_25N03074/B_25N03074_CKDL250026537-1A_22W5NLLT4_L7_1.fq.gz	raw_data/01.RawData_2025/B_25N03074/B_25N03074_CKDL250026537-1A_22W5NLLT4_L7_2.fq.gz	4008148.212	3993236.319
