sample	unit	library	flowcell	platform	lane	sample_id	barcode	fq1	fq2	kb1	kb2
24N02533	1	Plate1	225C2WLT4	ILLUMINA	3	24N02533	24N02533-Plate1	raw_data/BANS_Plate1_Novoseq/01.RawData/B_24N02533/B_24N02533_CKDL240009632-1A_225C2WLT4_L3_1.fq.gz	raw_data/BANS_Plate1_Novoseq/01.RawData/B_24N02533/B_24N02533_CKDL240009632-1A_225C2WLT4_L3_2.fq.gz	839180.065	829969.466
24N02534	1	Plate2	225CWMLT4	ILLUMINA	1	24N02534	24N02534-Plate2	raw_data/BANS_Plate2_Novoseq/01.RawData/B_24N02534/B_24N02534_CKDL240009631-1A_225CWMLT4_L1_1.fq.gz	raw_data/BANS_Plate2_Novoseq/01.RawData/B_24N02534/B_24N02534_CKDL240009631-1A_225CWMLT4_L1_2.fq.gz	3503999.618	3437782.291
24N02535	1	Plate1	225C2WLT4	ILLUMINA	3	24N02535	24N02535-Plate1	raw_data/BANS_Plate1_Novoseq/01.RawData/B_24N02535/B_24N02535_CKDL240009632-1A_225C2WLT4_L3_1.fq.gz	raw_data/BANS_Plate1_Novoseq/01.RawData/B_24N02535/B_24N02535_CKDL240009632-1A_225C2WLT4_L3_2.fq.gz	1833739.753	1801620.704
24N02536	1	Plate2	225CWMLT4	ILLUMINA	1	24N02536	24N02536-Plate2	raw_data/BANS_Plate2_Novoseq/01.RawData/B_24N02536/B_24N02536_CKDL240009631-1A_225CWMLT4_L1_1.fq.gz	raw_data/BANS_Plate2_Novoseq/01.RawData/B_24N02536/B_24N02536_CKDL240009631-1A_225CWMLT4_L1_2.fq.gz	3460347.516	3408647.636
24N02537	1	Plate1	225C2WLT4	ILLUMINA	3	24N02537	24N02537-Plate1	raw_data/BANS_Plate1_Novoseq/01.RawData/B_24N02537/B_24N02537_CKDL240009632-1A_225C2WLT4_L3_1.fq.gz	raw_data/BANS_Plate1_Novoseq/01.RawData/B_24N02537/B_24N02537_CKDL240009632-1A_225C2WLT4_L3_2.fq.gz	1506591.594	1473407.884
24N02538	1	Plate1	225C2WLT4	ILLUMINA	3	24N02538	24N02538-Plate1	raw_data/BANS_Plate1_Novoseq/01.RawData/B_24N02538/B_24N02538_CKDL240009632-1A_225C2WLT4_L3_1.fq.gz	raw_data/BANS_Plate1_Novoseq/01.RawData/B_24N02538/B_24N02538_CKDL240009632-1A_225C2WLT4_L3_2.fq.gz	2428861.885	2385661.724
24N02539	1	Plate2	225CWMLT4	ILLUMINA	1	24N02539	24N02539-Plate2	raw_data/BANS_Plate2_Novoseq/01.RawData/B_24N02539/B_24N02539_CKDL240009631-1A_225CWMLT4_L1_1.fq.gz	raw_data/BANS_Plate2_Novoseq/01.RawData/B_24N02539/B_24N02539_CKDL240009631-1A_225CWMLT4_L1_2.fq.gz	3517973.683	3488875.879
24N02540	1	Plate1	225C2WLT4	ILLUMINA	3	24N02540	24N02540-Plate1	raw_data/BANS_Plate1_Novoseq/01.RawData/B_24N02540/B_24N02540_CKDL240009632-1A_225C2WLT4_L3_1.fq.gz	raw_data/BANS_Plate1_Novoseq/01.RawData/B_24N02540/B_24N02540_CKDL240009632-1A_225C2WLT4_L3_2.fq.gz	3128670.418	3050577.772
24N02541	1	Plate1	225C2WLT4	ILLUMINA	3	24N02541	24N02541-Plate1	raw_data/BANS_Plate1_Novoseq/01.RawData/B_24N02541/B_24N02541_CKDL240009632-1A_225C2WLT4_L3_1.fq.gz	raw_data/BANS_Plate1_Novoseq/01.RawData/B_24N02541/B_24N02541_CKDL240009632-1A_225C2WLT4_L3_2.fq.gz	2398179.299	2335165.897
24N02542	1	Plate1	225C2WLT4	ILLUMINA	3	24N02542	24N02542-Plate1	raw_data/BANS_Plate1_Novoseq/01.RawData/B_24N02542/B_24N02542_CKDL240009632-1A_225C2WLT4_L3_1.fq.gz	raw_data/BANS_Plate1_Novoseq/01.RawData/B_24N02542/B_24N02542_CKDL240009632-1A_225C2WLT4_L3_2.fq.gz	2874261.935	2782151.247
24N02615	1	Plate1	225C2WLT4	ILLUMINA	3	24N02615	24N02615-Plate1	raw_data/BANS_Plate1_Novoseq/01.RawData/B_24N02615/B_24N02615_CKDL240009632-1A_225C2WLT4_L3_1.fq.gz	raw_data/BANS_Plate1_Novoseq/01.RawData/B_24N02615/B_24N02615_CKDL240009632-1A_225C2WLT4_L3_2.fq.gz	1279964.01	1259298.157
24N02616	1	Plate1	225C2WLT4	ILLUMINA	3	24N02616	24N02616-Plate1	raw_data/BANS_Plate1_Novoseq/01.RawData/B_24N02616/B_24N02616_CKDL240009632-1A_225C2WLT4_L3_1.fq.gz	raw_data/BANS_Plate1_Novoseq/01.RawData/B_24N02616/B_24N02616_CKDL240009632-1A_225C2WLT4_L3_2.fq.gz	1950866.362	1920228.962
24N02617	1	Plate1	225C2WLT4	ILLUMINA	3	24N02617	24N02617-Plate1	raw_data/BANS_Plate1_Novoseq/01.RawData/B_24N02617/B_24N02617_CKDL240009632-1A_225C2WLT4_L3_1.fq.gz	raw_data/BANS_Plate1_Novoseq/01.RawData/B_24N02617/B_24N02617_CKDL240009632-1A_225C2WLT4_L3_2.fq.gz	2706270.251	2676026.136
24N02618	1	Plate1	225C2WLT4	ILLUMINA	3	24N02618	24N02618-Plate1	raw_data/BANS_Plate1_Novoseq/01.RawData/B_24N02618/B_24N02618_CKDL240009632-1A_225C2WLT4_L3_1.fq.gz	raw_data/BANS_Plate1_Novoseq/01.RawData/B_24N02618/B_24N02618_CKDL240009632-1A_225C2WLT4_L3_2.fq.gz	1747402.372	1730466.319
24N02620	1	Plate2	225CWMLT4	ILLUMINA	1	24N02620	24N02620-Plate2	raw_data/BANS_Plate2_Novoseq/01.RawData/B_24N02620/B_24N02620_CKDL240009631-1A_225CWMLT4_L1_1.fq.gz	raw_data/BANS_Plate2_Novoseq/01.RawData/B_24N02620/B_24N02620_CKDL240009631-1A_225CWMLT4_L1_2.fq.gz	2574474.882	2527696.201
24N02621	1	Plate2	225CWMLT4	ILLUMINA	1	24N02621	24N02621-Plate2	raw_data/BANS_Plate2_Novoseq/01.RawData/B_24N02621/B_24N02621_CKDL240009631-1A_225CWMLT4_L1_1.fq.gz	raw_data/BANS_Plate2_Novoseq/01.RawData/B_24N02621/B_24N02621_CKDL240009631-1A_225CWMLT4_L1_2.fq.gz	3290004.575	3162996.628
