Long	Lat	State	CityTown	ID	bio01	bio02	bio03	bio04	bio05	bio06	bio07	bio08	bio09	bio10	bio11	bio12	bio13	bio14	bio16	bio17	bio18	bio19
-120.05934	56.1223707	British Columbia	Peace River	34	2.63749995330969	10.4583336611589	24.7827807395291	1152.10505377674	21.5	-20.7000007629395	42.2000007629395	15.8333334922791	-3.26666680971781	15.8333334922791	-12.350000222524	436	74	18	201	56	201	70
-120.05934	56.1223707	British Columbia	Peace River	35	2.63749995330969	10.4583336611589	24.7827807395291	1152.10505377674	21.5	-20.7000007629395	42.2000007629395	15.8333334922791	-3.26666680971781	15.8333334922791	-12.350000222524	436	74	18	201	56	201	70
-120.05934	56.1223707	British Columbia	Peace River	36	2.63749995330969	10.4583336611589	24.7827807395291	1152.10505377674	21.5	-20.7000007629395	42.2000007629395	15.8333334922791	-3.26666680971781	15.8333334922791	-12.350000222524	436	74	18	201	56	201	70
-120.05934	56.1223707	British Columbia	Peace River	37	2.63749995330969	10.4583336611589	24.7827807395291	1152.10505377674	21.5	-20.7000007629395	42.2000007629395	15.8333334922791	-3.26666680971781	15.8333334922791	-12.350000222524	436	74	18	201	56	201	70
-120.05934	56.1223707	British Columbia	Peace River	38	2.63749995330969	10.4583336611589	24.7827807395291	1152.10505377674	21.5	-20.7000007629395	42.2000007629395	15.8333334922791	-3.26666680971781	15.8333334922791	-12.350000222524	436	74	18	201	56	201	70
-120.05934	56.1223707	British Columbia	Peace River	39	2.63749995330969	10.4583336611589	24.7827807395291	1152.10505377674	21.5	-20.7000007629395	42.2000007629395	15.8333334922791	-3.26666680971781	15.8333334922791	-12.350000222524	436	74	18	201	56	201	70
-134.84955	60.62733	Yukon	Whitehorse	40	-0.845833375429114	11.4583332749705	25.8653125785714	1152.70326326562	18.7999992370605	-25.5	44.2999992370605	11.0666666825612	-6.70000001539787	12.5499999523163	-15.8166667620341	268	39	5	110	29	104	52
-134.84955	60.62733	Yukon	Whitehorse	41	-0.845833375429114	11.4583332749705	25.8653125785714	1152.70326326562	18.7999992370605	-25.5	44.2999992370605	11.0666666825612	-6.70000001539787	12.5499999523163	-15.8166667620341	268	39	5	110	29	104	52
-134.84955	60.62733	Yukon	Whitehorse	42	-0.845833375429114	11.4583332749705	25.8653125785714	1152.70326326562	18.7999992370605	-25.5	44.2999992370605	11.0666666825612	-6.70000001539787	12.5499999523163	-15.8166667620341	268	39	5	110	29	104	52
-134.84955	60.62733	Yukon	Whitehorse	43	-0.845833375429114	11.4583332749705	25.8653125785714	1152.70326326562	18.7999992370605	-25.5	44.2999992370605	11.0666666825612	-6.70000001539787	12.5499999523163	-15.8166667620341	268	39	5	110	29	104	52
-134.84955	60.62733	Yukon	Whitehorse	44	-0.845833375429114	11.4583332749705	25.8653125785714	1152.70326326562	18.7999992370605	-25.5	44.2999992370605	11.0666666825612	-6.70000001539787	12.5499999523163	-15.8166667620341	268	39	5	110	29	104	52
-134.84955	60.62733	Yukon	Whitehorse	45	-0.845833375429114	11.4583332749705	25.8653125785714	1152.70326326562	18.7999992370605	-25.5	44.2999992370605	11.0666666825612	-6.70000001539787	12.5499999523163	-15.8166667620341	268	39	5	110	29	104	52
-134.84955	60.62733	Yukon	Whitehorse	46	-0.845833375429114	11.4583332749705	25.8653125785714	1152.70326326562	18.7999992370605	-25.5	44.2999992370605	11.0666666825612	-6.70000001539787	12.5499999523163	-15.8166667620341	268	39	5	110	29	104	52
-134.84955	60.62733	Yukon	Whitehorse	47	-0.845833375429114	11.4583332749705	25.8653125785714	1152.70326326562	18.7999992370605	-25.5	44.2999992370605	11.0666666825612	-6.70000001539787	12.5499999523163	-15.8166667620341	268	39	5	110	29	104	52
-134.84955	60.62733	Yukon	Whitehorse	48	-0.845833375429114	11.4583332749705	25.8653125785714	1152.70326326562	18.7999992370605	-25.5	44.2999992370605	11.0666666825612	-6.70000001539787	12.5499999523163	-15.8166667620341	268	39	5	110	29	104	52
-134.84955	60.62733	Yukon	Whitehorse	49	-0.845833375429114	11.4583332749705	25.8653125785714	1152.70326326562	18.7999992370605	-25.5	44.2999992370605	11.0666666825612	-6.70000001539787	12.5499999523163	-15.8166667620341	268	39	5	110	29	104	52
-62.751434	45.960863	Prince Edward Island	Wood Islands	50	5.79166656732559	9.26666663090388	26.1032869854767	939.946393819704	22.2999992370605	-13.1999998092651	35.4999990463257	3.53333326180776	2.66666650772095	17.133333047231	-5.7666666507721	1171	126	83	368	254	273	268
-62.751434	45.960863	Prince Edward Island	Wood Islands	51	5.79166656732559	9.26666663090388	26.1032869854767	939.946393819704	22.2999992370605	-13.1999998092651	35.4999990463257	3.53333326180776	2.66666650772095	17.133333047231	-5.7666666507721	1171	126	83	368	254	273	268
-62.751434	45.960863	Prince Edward Island	Wood Islands	52	5.79166656732559	9.26666663090388	26.1032869854767	939.946393819704	22.2999992370605	-13.1999998092651	35.4999990463257	3.53333326180776	2.66666650772095	17.133333047231	-5.7666666507721	1171	126	83	368	254	273	268
-62.751434	45.960863	Prince Edward Island	Wood Islands	53	5.79166656732559	9.26666663090388	26.1032869854767	939.946393819704	22.2999992370605	-13.1999998092651	35.4999990463257	3.53333326180776	2.66666650772095	17.133333047231	-5.7666666507721	1171	126	83	368	254	273	268
-62.751434	45.960863	Prince Edward Island	Wood Islands	54	5.79166656732559	9.26666663090388	26.1032869854767	939.946393819704	22.2999992370605	-13.1999998092651	35.4999990463257	3.53333326180776	2.66666650772095	17.133333047231	-5.7666666507721	1171	126	83	368	254	273	268
